# Devanagari
U+097C, \xe0\xa5\xbc, DEVANAGARI LETTER JJA
U+097D, \xe0\xa5\xbd, DEVANAGARI LETTER GLOTTAL STOP
U+097E, \xe0\xa5\xbe, DEVANAGARI LETTER DDDA
U+097F, \xe0\xa5\xbf, DEVANAGARI LETTER BBA
U+0981, \xe0\xa6\x81, BENGALI SIGN CANDRABINDU
U+0982, \xe0\xa6\x82, BENGALI SIGN ANUSVARA
U+0983, \xe0\xa6\x83, BENGALI SIGN VISARGA
U+0985, \xe0\xa6\x85, BENGALI LETTER A
U+0986, \xe0\xa6\x86, BENGALI LETTER AA
U+0987, \xe0\xa6\x87, BENGALI LETTER I
U+0988, \xe0\xa6\x88, BENGALI LETTER II
U+0989, \xe0\xa6\x89, BENGALI LETTER U
U+098A, \xe0\xa6\x8a, BENGALI LETTER UU
U+098B, \xe0\xa6\x8b, BENGALI LETTER VOCALIC R
U+098C, \xe0\xa6\x8c, BENGALI LETTER VOCALIC L
U+098F, \xe0\xa6\x8f, BENGALI LETTER E
U+0990, \xe0\xa6\x90, BENGALI LETTER AI
U+0993, \xe0\xa6\x93, BENGALI LETTER O
U+0994, \xe0\xa6\x94, BENGALI LETTER AU
U+0995, \xe0\xa6\x95, BENGALI LETTER KA
U+0996, \xe0\xa6\x96, BENGALI LETTER KHA
U+0997, \xe0\xa6\x97, BENGALI LETTER GA
U+0998, \xe0\xa6\x98, BENGALI LETTER GHA
U+0999, \xe0\xa6\x99, BENGALI LETTER NGA
U+099A, \xe0\xa6\x9a, BENGALI LETTER CA
U+099B, \xe0\xa6\x9b, BENGALI LETTER CHA
U+099C, \xe0\xa6\x9c, BENGALI LETTER JA
U+099D, \xe0\xa6\x9d, BENGALI LETTER JHA
U+099E, \xe0\xa6\x9e, BENGALI LETTER NYA
U+099F, \xe0\xa6\x9f, BENGALI LETTER TTA
U+09A0, \xe0\xa6\xa0, BENGALI LETTER TTHA
U+09A1, \xe0\xa6\xa1, BENGALI LETTER DDA
U+09A2, \xe0\xa6\xa2, BENGALI LETTER DDHA
U+09A3, \xe0\xa6\xa3, BENGALI LETTER NNA
U+09A4, \xe0\xa6\xa4, BENGALI LETTER TA
U+09A5, \xe0\xa6\xa5, BENGALI LETTER THA
U+09A6, \xe0\xa6\xa6, BENGALI LETTER DA
U+09A7, \xe0\xa6\xa7, BENGALI LETTER DHA
U+09A8, \xe0\xa6\xa8, BENGALI LETTER NA
U+09AA, \xe0\xa6\xaa, BENGALI LETTER PA
U+09AB, \xe0\xa6\xab, BENGALI LETTER PHA
U+09AC, \xe0\xa6\xac, BENGALI LETTER BA
U+09AD, \xe0\xa6\xad, BENGALI LETTER BHA
U+09AE, \xe0\xa6\xae, BENGALI LETTER MA
U+09AF, \xe0\xa6\xaf, BENGALI LETTER YA
U+09B0, \xe0\xa6\xb0, BENGALI LETTER RA
U+09B2, \xe0\xa6\xb2, BENGALI LETTER LA
U+09B6, \xe0\xa6\xb6, BENGALI LETTER SHA
U+09B7, \xe0\xa6\xb7, BENGALI LETTER SSA
U+09B8, \xe0\xa6\xb8, BENGALI LETTER SA
U+09B9, \xe0\xa6\xb9, BENGALI LETTER HA
U+09BC, \xe0\xa6\xbc, BENGALI SIGN NUKTA
U+09BD, \xe0\xa6\xbd, BENGALI SIGN AVAGRAHA
U+09BE, \xe0\xa6\xbe, BENGALI VOWEL SIGN AA
U+09BF, \xe0\xa6\xbf, BENGALI VOWEL SIGN I
U+09C0, \xe0\xa7\x80, BENGALI VOWEL SIGN II
U+09C1, \xe0\xa7\x81, BENGALI VOWEL SIGN U
U+09C2, \xe0\xa7\x82, BENGALI VOWEL SIGN UU
U+09C3, \xe0\xa7\x83, BENGALI VOWEL SIGN VOCALIC R
U+09C4, \xe0\xa7\x84, BENGALI VOWEL SIGN VOCALIC RR
U+09C7, \xe0\xa7\x87, BENGALI VOWEL SIGN E
U+09C8, \xe0\xa7\x88, BENGALI VOWEL SIGN AI
U+09CB, \xe0\xa7\x8b, BENGALI VOWEL SIGN O
U+09CC, \xe0\xa7\x8c, BENGALI VOWEL SIGN AU
U+09CD, \xe0\xa7\x8d, BENGALI SIGN VIRAMA
U+09CE, \xe0\xa7\x8e, BENGALI LETTER KHANDA TA
U+09D7, \xe0\xa7\x97, BENGALI AU LENGTH MARK
U+09DC, \xe0\xa7\x9c, BENGALI LETTER RRA
U+09DD, \xe0\xa7\x9d, BENGALI LETTER RHA
U+09DF, \xe0\xa7\x9f, BENGALI LETTER YYA
U+09E0, \xe0\xa7\xa0, BENGALI LETTER VOCALIC RR
U+09E1, \xe0\xa7\xa1, BENGALI LETTER VOCALIC LL
U+09E2, \xe0\xa7\xa2, BENGALI VOWEL SIGN VOCALIC L
U+09E3, \xe0\xa7\xa3, BENGALI VOWEL SIGN VOCALIC LL
U+09E6, \xe0\xa7\xa6, BENGALI DIGIT ZERO
U+09E7, \xe0\xa7\xa7, BENGALI DIGIT ONE
U+09E8, \xe0\xa7\xa8, BENGALI DIGIT TWO
U+09E9, \xe0\xa7\xa9, BENGALI DIGIT THREE
U+09EA, \xe0\xa7\xaa, BENGALI DIGIT FOUR
U+09EB, \xe0\xa7\xab, BENGALI DIGIT FIVE
U+09EC, \xe0\xa7\xac, BENGALI DIGIT SIX
U+09ED, \xe0\xa7\xad, BENGALI DIGIT SEVEN
U+09EE, \xe0\xa7\xae, BENGALI DIGIT EIGHT
U+09EF, \xe0\xa7\xaf, BENGALI DIGIT NINE
U+09F0, \xe0\xa7\xb0, BENGALI LETTER RA WITH MIDDLE DIAGONAL
U+09F1, \xe0\xa7\xb1, BENGALI LETTER RA WITH LOWER DIAGONAL
U+09F2, \xe0\xa7\xb2, BENGALI RUPEE MARK
U+09F3, \xe0\xa7\xb3, BENGALI RUPEE SIGN
U+09F4, \xe0\xa7\xb4, BENGALI CURRENCY NUMERATOR ONE
U+09F5, \xe0\xa7\xb5, BENGALI CURRENCY NUMERATOR TWO
U+09F6, \xe0\xa7\xb6, BENGALI CURRENCY NUMERATOR THREE
U+09F7, \xe0\xa7\xb7, BENGALI CURRENCY NUMERATOR FOUR
U+09F8, \xe0\xa7\xb8, BENGALI CURRENCY NUMERATOR ONE LESS THAN THE DENOMINATOR
U+09F9, \xe0\xa7\xb9, BENGALI CURRENCY DENOMINATOR SIXTEEN
U+09FA, \xe0\xa7\xba, BENGALI ISSHAR
U+09FB, \xe0\xa7\xbb, BENGALI GANDA MARK
